用户名,推荐,游戏时长,评论,政治敏感,emotional_score,rational_score,playtime_norm,rational_norm,emotional_norm,helpful_norm,CPIV_Score,VPV_Score,timestamp,helpful
芝士奶盖绿茶o.O,Recommended,6.6,"
					对于哈迷来说最棒的游戏",0,0.0,0.03222001980293614,0.0014417531718569781,0.05254272626141995,0.4678894176781991,0.0,0.021593791773310774,0.23408888415628523,2024-10-17 21:19:13.876209,0
杂乱无章,Recommended,2.2,"
					好玩",0,0.0,0.004639863874564969,0.00046579717859994684,0.007566447784408327,0.4678894176781991,0.0,0.0032128979852033097,0.23399128855695953,2024-12-08 21:19:13.876209,0
魔法少女爱莉希雅♪,Not Recommended,24.3,"
					首发预购抢先体验豪华包的，当时直接跑了24个小时，然而游戏正式上线后几乎一点没动，只能说玩多了一个是真的很无聊，另一个是……沟槽的ZZZQ跟傻逼一样缠着你，倪哥还在当奴隶的时候上来跟你一块学魔法已经够难绷的了，男人声女人像是什么玩意儿？逆天还要放到任务上跳你的脸，只能说……非哈迷不要入",1,0.0,0.13095519283895377,0.005367757962913672,0.21355489201845818,0.4678894176781991,0.0,0.08756905999254874,0.2344814846353909,2024-12-21 21:19:13.876209,0
TQB,Recommended,6.4,"
					哈迷真的很爱，秋促价格很不错！随便在霍格沃兹逛一逛都很开心！",0,0.0,0.06174113676935171,0.0013973915357998405,0.10068422267218205,0.4678894176781991,0.0,0.04083264568319276,0.23408444799267952,2024-12-08 21:19:13.876209,0
漆原琉华,Recommended,29.1,"
					优化太烂",0,0.0,0.014260271552080794,0.0064324372282849795,0.02325490639537769,0.4678894176781991,0.0,0.011874937449465068,0.23458795256192805,2024-07-14 21:19:13.876209,0
dwr.tony,Not Recommended,35.5,"
					先说结论：此游戏只推荐想要感受一下哈利波特IP世界的铁粉。游戏内的战斗和剧情体验真是挺烂的，尤其是最终的BOSS战，毫无设计感可言，完全就是QTE的雷同感；其次任务系统也很无聊，除了蛇院小哥的支线剧情因为想要不可饶恕咒有动力做做以外，其他支线真是完全提不起兴趣",0,0.0,0.12115048516485805,0.007852009582113389,0.19756588659437369,0.4678894176781991,0.0,0.08216715847059484,0.23472990979731087,2024-10-29 21:19:13.876209,0
LinLauren,Recommended,25.1,"
					好玩",0,0.0,0.004639863874564969,0.005545204507142224,0.007566447784408327,0.4678894176781991,0.0,0.005244660916620221,0.23449922928981376,2024-10-27 21:19:13.876209,0
Nothing,Recommended,25.0,"
					好",0,0.0,0.0,0.005523023689113654,0.0,0.4678894176781991,0.0,0.002209209475645462,0.23449701120801092,2024-10-20 21:19:13.876209,0
鑫辰昨夜,Recommended,18.8,"
					战斗爽",0,0.0,0.008799667487498653,0.004147812971342383,0.01435003835550173,0.4678894176781991,0.0,0.007399140530737646,0.23435949013623378,2024-07-16 21:19:13.876209,0
ylc1226,Recommended,14.1,"
					哈迷必入",0,0.0,0.012571082362891605,0.0031053145239996454,0.02050026484909194,0.4678894176781991,0.0,0.009442231749236633,0.2342552402914995,2024-12-23 21:19:13.876209,0
